Model,Dataset,Language,Average Token Count Per Word,Average Bytes Per Token,Average Normalized Sequence Length
qwen2.5-72B,commonsenseqa,bn,6.481983976758591,2.4762747150321736,0.8734950747849491
qwen2.5-72B,commonsenseqa,en,1.3644534398792216,4.512958660628703,0.9906690850205764
qwen2.5-72B,gsm8k-main,bn,6.851840665823797,2.4551794822677073,0.8832354953168114
qwen2.5-72B,gsm8k-main,en,1.401098358881082,4.651396092835527,1.0315757218527073
qwen2.5-72B,hellaswag,bn,6.483196522897711,2.4958376835200156,0.8792645173017115
qwen2.5-72B,hellaswag,en,1.260438490100763,4.601700205291793,0.9975490236493424
qwen2.5-72B,mmlu,bn,6.752119510079855,2.4919296306445906,0.8751498692028364
qwen2.5-72B,mmlu,en,1.3401479405236678,4.688179564611837,1.0032792259051184
qwen2.5-72B,openbookqa,bn,6.5266680599567435,2.4888912918816373,0.8684435060507205
qwen2.5-72B,openbookqa,en,1.3175424943180396,4.660076033120553,0.9904210740239948
qwen2.5-72B,piqa,bn,6.650587782909505,2.5084675513376364,0.8748212535036305
qwen2.5-72B,piqa,en,1.24863622575973,4.85631500372787,0.9921109667564142
qwen2.5-72B,winogrande,bn,6.677659924219535,2.5239520050128896,0.8722202305379627
qwen2.5-72B,winogrande,en,1.2422834865376982,5.037823519685927,0.9885702030017276
deepseek-qwen-14B,arc-challenge,bn,6.651751269446558,2.486135987749404,0.8741705439894154
deepseek-qwen-14B,arc-challenge,en,1.3118721510376028,4.693615930454823,1.0031189359509467
deepseek-qwen-14B,arc-easy,bn,6.6772422677517955,2.486538903245868,0.8735754227521133
deepseek-qwen-14B,arc-easy,en,1.321049332590019,4.7028160636239384,1.0013696323703996
deepseek-qwen-14B,boolq,bn,7.135131960561515,2.5184095395624775,0.8756474731116191
deepseek-qwen-14B,boolq,en,1.3489602912673488,4.708834143319764,1.0209069705611682
deepseek-qwen-14B,commonsenseqa,bn,6.494881896534277,2.471356937410436,0.8752331604886294
deepseek-qwen-14B,commonsenseqa,en,1.3775159348971746,4.47017069145515,1.000149186519968
deepseek-qwen-14B,gsm8k-main,bn,6.86017097531569,2.45220016930382,0.88430855942886
deepseek-qwen-14B,gsm8k-main,en,1.4092318581853198,4.624546955538158,1.037557178843321
deepseek-qwen-14B,hellaswag,bn,6.489155355420204,2.493549958805415,0.8800714962630519
deepseek-qwen-14B,hellaswag,en,1.265868403546946,4.581753036015297,1.00186728591643
deepseek-qwen-14B,mmlu,bn,6.762426821932418,2.4881140554612458,0.8764927986585852
deepseek-qwen-14B,mmlu,en,1.3499743476495027,4.6544022243030465,1.0105660928429434
deepseek-qwen-14B,openbookqa,bn,6.5405474483338395,2.4836093708368696,0.8702902169155479
deepseek-qwen-14B,openbookqa,en,1.3312070719938174,4.6123594128729914,1.0006685384044565
deepseek-qwen-14B,piqa,bn,6.662939020507377,2.5038195853397047,0.8764411297610758
deepseek-qwen-14B,piqa,en,1.2607494064155158,4.809276219376783,1.0017292451097988
deepseek-qwen-14B,winogrande,bn,6.692354575004139,2.518408028207837,0.8741401918323526
deepseek-qwen-14B,winogrande,en,1.2567634364274936,4.979743201881736,1.0000934334390383
qwen2.5-7B,arc-challenge,bn,6.6403494804367735,2.49041256490061,0.8726693206510496
qwen2.5-7B,arc-challenge,en,1.300964813731512,4.732854760017065,0.994802261658134
qwen2.5-7B,arc-easy,bn,6.664951815531119,2.4911327095448854,0.8719646261191714
qwen2.5-7B,arc-easy,en,1.309194520565974,4.7452219323509235,0.9924124272799232
qwen2.5-7B,boolq,bn,7.127091177332338,2.5212562077793685,0.8746610383725253
qwen2.5-7B,boolq,en,1.3415016370902724,4.735344820786077,1.0152498515448023
qwen2.5-7B,commonsenseqa,bn,6.481983976758591,2.4762747150321736,0.8734950747849491
qwen2.5-7B,commonsenseqa,en,1.3644534398792216,4.512958660628703,0.9906690850205764
qwen2.5-7B,gsm8k-main,bn,6.851840665823797,2.4551794822677073,0.8832354953168114
qwen2.5-7B,gsm8k-main,en,1.401098358881082,4.651396092835527,1.0315757218527073
qwen2.5-7B,hellaswag,bn,6.483196522897711,2.4958376835200156,0.8792645173017115
qwen2.5-7B,hellaswag,en,1.260438490100763,4.601700205291793,0.9975490236493424
qwen2.5-7B,mmlu,bn,6.752119510079855,2.4919296306445906,0.8751498692028364
qwen2.5-7B,mmlu,en,1.3401479405236678,4.688179564611837,1.0032792259051184
qwen2.5-7B,openbookqa,bn,6.5266680599567435,2.4888912918816373,0.8684435060507205
qwen2.5-7B,openbookqa,en,1.3175424943180396,4.660076033120553,0.9904210740239948
qwen2.5-7B,piqa,bn,6.650587782909505,2.5084675513376364,0.8748212535036305
qwen2.5-7B,piqa,en,1.24863622575973,4.85631500372787,0.9921109667564142
qwen2.5-7B,winogrande,bn,6.677659924219535,2.5239520050128896,0.8722202305379627
qwen2.5-7B,winogrande,en,1.2422834865376982,5.037823519685927,0.9885702030017276
mistral-24B,arc-challenge,bn,3.812476631466627,4.338327591306215,0.5011651164117332
mistral-24B,arc-challenge,en,1.3118874142740564,4.692672567569982,1.0033599114642178
mistral-24B,arc-easy,bn,3.830397947317918,4.334999398092078,0.5011982155366866
mistral-24B,arc-easy,en,1.3202139365522003,4.705580175091202,1.0009032097658397
mistral-24B,boolq,bn,4.1338599288199065,4.347657380594658,0.5074015718887575
mistral-24B,boolq,en,1.362900929859369,4.660478771923418,1.0316663337516574
mistral-24B,commonsenseqa,bn,3.786973371033723,4.238903480897005,0.5103340071307462
mistral-24B,commonsenseqa,en,1.3846872632316791,4.447312247357228,1.0053573196928065
mistral-24B,gsm8k-main,bn,3.939901385438984,4.2703003250757385,0.5078550067216275
mistral-24B,gsm8k-main,en,1.4250163655213184,4.573700101753941,1.0491729403157646
mistral-24B,hellaswag,bn,3.735576717413382,4.332061286498172,0.5066845857186163
mistral-24B,hellaswag,en,1.2778203091992235,4.539740977047609,1.0112817701530508
mistral-24B,mmlu,bn,3.859764769022133,4.359689219642935,0.5007148894868286
mistral-24B,mmlu,en,1.3523656452755946,4.644835943468577,1.0126976562985348
mistral-24B,openbookqa,bn,3.753590386353025,4.328085648496579,0.4994746872776817
mistral-24B,openbookqa,en,1.3365386813901403,4.594142096439203,1.0047034780106392
mistral-24B,piqa,bn,3.774764474242248,4.419002971282671,0.4967404147083397
mistral-24B,piqa,en,1.2767463419974736,4.75152819942366,1.0143065335070245
mistral-24B,winogrande,bn,3.789812066350748,4.447780657318567,0.4950100651777106
mistral-24B,winogrande,en,1.2615439357838094,4.96120799598427,1.0039060797374852
deepseek-llama-70B,arc-challenge,bn,7.610169463730258,2.1732875279184216,1.0
deepseek-llama-70B,arc-challenge,en,1.3075266892587765,4.706350581957593,1.0
deepseek-llama-70B,arc-easy,bn,7.644050167274081,2.1721871073932744,1.0
deepseek-llama-70B,arc-easy,en,1.3191812484954528,4.708745594510948,1.0
deepseek-llama-70B,boolq,bn,8.149482141237996,2.2051252868723306,1.0
deepseek-llama-70B,boolq,en,1.320716970537113,4.800881442216844,1.0
deepseek-llama-70B,commonsenseqa,bn,7.421122689847652,2.1630080451918015,1.0
deepseek-llama-70B,commonsenseqa,en,1.377305942790858,4.470809895406966,1.0
deepseek-llama-70B,gsm8k-main,bn,7.758227981467476,2.168507231606912,1.0
deepseek-llama-70B,gsm8k-main,en,1.3580872926682583,4.797540482911509,1.0
deepseek-llama-70B,hellaswag,bn,7.374476217855917,2.194476497664909,1.0
deepseek-llama-70B,hellaswag,en,1.263423720887238,4.5898834458409405,1.0
deepseek-llama-70B,mmlu,bn,7.71755900379726,2.1806430221883257,1.0
deepseek-llama-70B,mmlu,en,1.3349567163551943,4.697096718109486,1.0
deepseek-llama-70B,openbookqa,bn,7.515764460859373,2.161464464280649,1.0
deepseek-llama-70B,openbookqa,en,1.330290649315685,4.615190978470429,1.0
deepseek-llama-70B,piqa,bn,7.603853684182244,2.194410767080918,1.0
deepseek-llama-70B,piqa,en,1.258475434694787,4.816839883499475,1.0
deepseek-llama-70B,winogrande,bn,7.6562421599107235,2.2014581985121087,1.0
deepseek-llama-70B,winogrande,en,1.2566412097055986,4.980178910659151,1.0
llama-3.1-8B,arc-challenge,bn,7.610169463730258,2.1732875279184216,1.0
llama-3.1-8B,arc-challenge,en,1.3075266892587765,4.706350581957593,1.0
llama-3.1-8B,arc-easy,bn,7.644050167274081,2.1721871073932744,1.0
llama-3.1-8B,arc-easy,en,1.3191812484954528,4.708745594510948,1.0
llama-3.1-8B,boolq,bn,8.149482141237996,2.2051252868723306,1.0
llama-3.1-8B,boolq,en,1.320716970537113,4.800881442216844,1.0
llama-3.1-8B,commonsenseqa,bn,7.421122689847652,2.1630080451918015,1.0
llama-3.1-8B,commonsenseqa,en,1.377305942790858,4.470809895406966,1.0
llama-3.1-8B,gsm8k-main,bn,7.758227981467476,2.168507231606912,1.0
llama-3.1-8B,gsm8k-main,en,1.3580872926682583,4.797540482911509,1.0
llama-3.1-8B,hellaswag,bn,7.374476217855917,2.194476497664909,1.0
llama-3.1-8B,hellaswag,en,1.263423720887238,4.5898834458409405,1.0
llama-3.1-8B,mmlu,bn,7.71755900379726,2.1806430221883257,1.0
llama-3.1-8B,mmlu,en,1.3349567163551943,4.697096718109486,1.0
llama-3.1-8B,openbookqa,bn,7.515764460859373,2.161464464280649,1.0
llama-3.1-8B,openbookqa,en,1.330290649315685,4.615190978470429,1.0
llama-3.1-8B,piqa,bn,7.603853684182244,2.194410767080918,1.0
llama-3.1-8B,piqa,en,1.258475434694787,4.816839883499475,1.0
llama-3.1-8B,winogrande,bn,7.6562421599107235,2.2014581985121087,1.0
llama-3.1-8B,winogrande,en,1.2566412097055986,4.980178910659151,1.0
llama-3.2-3B,arc-challenge,bn,7.610169463730258,2.1732875279184216,1.0
llama-3.2-3B,arc-challenge,en,1.3075266892587765,4.706350581957593,1.0
llama-3.2-3B,arc-easy,bn,7.644050167274081,2.1721871073932744,1.0
llama-3.2-3B,arc-easy,en,1.3191812484954528,4.708745594510948,1.0
llama-3.2-3B,boolq,bn,8.149482141237996,2.2051252868723306,1.0
llama-3.2-3B,boolq,en,1.320716970537113,4.800881442216844,1.0
llama-3.2-3B,commonsenseqa,bn,7.421122689847652,2.1630080451918015,1.0
llama-3.2-3B,commonsenseqa,en,1.377305942790858,4.470809895406966,1.0
llama-3.2-3B,gsm8k-main,bn,7.758227981467476,2.168507231606912,1.0
llama-3.2-3B,gsm8k-main,en,1.3580872926682583,4.797540482911509,1.0
llama-3.2-3B,hellaswag,bn,7.374476217855917,2.194476497664909,1.0
llama-3.2-3B,hellaswag,en,1.263423720887238,4.5898834458409405,1.0
llama-3.2-3B,mmlu,bn,7.71755900379726,2.1806430221883257,1.0
llama-3.2-3B,mmlu,en,1.3349567163551943,4.697096718109486,1.0
llama-3.2-3B,openbookqa,bn,7.515764460859373,2.161464464280649,1.0
llama-3.2-3B,openbookqa,en,1.330290649315685,4.615190978470429,1.0
llama-3.2-3B,piqa,bn,7.603853684182244,2.194410767080918,1.0
llama-3.2-3B,piqa,en,1.258475434694787,4.816839883499475,1.0
llama-3.2-3B,winogrande,bn,7.6562421599107235,2.2014581985121087,1.0
llama-3.2-3B,winogrande,en,1.2566412097055986,4.980178910659151,1.0
mistral-7B,arc-challenge,bn,7.009255089808878,2.359510432920814,0.9213007889439732
mistral-7B,arc-challenge,en,1.4476600495903489,4.254963217957911,1.1068374491994912
mistral-7B,arc-easy,bn,7.033709809400333,2.360641716160812,0.920334609541752
mistral-7B,arc-easy,en,1.460516947603287,4.256391675480218,1.1068397334882047
mistral-7B,boolq,bn,7.457786592795012,2.4099400438683696,0.915351060680562
mistral-7B,boolq,en,1.4880968223097355,4.2693539232657765,1.126021417119628
mistral-7B,commonsenseqa,bn,6.867279300705856,2.337436550896501,0.9254825197642872
mistral-7B,commonsenseqa,en,1.5108340234232962,4.07682854465237,1.0968490402877384
mistral-7B,gsm8k-main,bn,7.381079601137099,2.279339696929592,0.9514978510459232
mistral-7B,gsm8k-main,en,1.4962961900960114,4.35646968713836,1.1015996509646198
mistral-7B,hellaswag,bn,6.7239619501299766,2.406849300140544,0.9119560918554628
mistral-7B,hellaswag,en,1.3874729428750496,4.1817650071045955,1.0980057384726205
mistral-7B,mmlu,bn,7.083369795154883,2.3755157508479665,0.9182503903143296
mistral-7B,mmlu,en,1.493390692412127,4.206463071865699,1.1179714510340428
mistral-7B,openbookqa,bn,6.872226445551623,2.3638738347521993,0.9144959166503522
mistral-7B,openbookqa,en,1.4571683725261448,4.21543989733477,1.0951636003849867
mistral-7B,piqa,bn,6.909505706518212,2.4145768047233664,0.9089959287338018
mistral-7B,piqa,en,1.3983468507305716,4.338772827158188,1.1108613610947835
mistral-7B,winogrande,bn,7.004731367242997,2.406162845391181,0.9150148225446508
mistral-7B,winogrande,en,1.3935582554292398,4.493067160005741,1.1088487470040287
